"","gender","ADGGRU","zip","residenceBeforeEnrolment","ageAtEnrolment","priop","UDD_KODE","kvotient","kvote","land","Campus","MAT_Niveau","MATGrade","ENG_Niveau","ENGGrade","DAN_Niveau","DANGrade","enrolID","startaar","startsn","Uddannelse","startramme","Ramme_kode","startstudordna","Studieordningskode","startfak","slutramme","slutsn","slutfak","NU","Norm tid","Norm+1 aar","statussn","udmeldsn","fradatosn","slutdatosn","stype","yearOfEnrolment","EndSemester","SPV","1_T_atnBy","1_T_atpIn","1_NT_atnBy","1_NT_atpIn","1_El_atnBy","1_El_atpIn","1_Pr_atnBy","1_Pr_atpIn","2_T_atnBy","2_T_atpIn","2_NT_atnBy","2_NT_atpIn","2_El_atnBy","2_El_atpIn","2_Pr_atnBy","2_Pr_atpIn","3_T_atnBy","3_T_atpIn","3_NT_atnBy","3_NT_atpIn","3_El_atnBy","3_El_atpIn","3_Pr_atnBy","3_Pr_atpIn","4_T_atnBy","4_T_atpIn","4_NT_atnBy","4_NT_atpIn","4_El_atnBy","4_El_atpIn","4_Pr_atnBy","4_Pr_atpIn","5_T_atnBy","5_T_atpIn","5_NT_atnBy","5_NT_atpIn","5_El_atnBy","5_El_atpIn","5_Pr_atnBy","5_Pr_atpIn","6_T_atnBy","6_T_atpIn","6_NT_atnBy","6_NT_atpIn","6_El_atnBy","6_El_atpIn","6_Pr_atnBy","6_Pr_atpIn","7_T_atnBy","7_T_atpIn","7_NT_atnBy","7_NT_atpIn","7_El_atnBy","7_El_atpIn","7_Pr_atnBy","7_Pr_atpIn","8_T_atnBy","8_T_atpIn","8_NT_atnBy","8_NT_atpIn","8_El_atnBy","8_El_atpIn","8_Pr_atnBy","8_Pr_atpIn","9_T_atnBy","9_T_atpIn","9_NT_atnBy","9_NT_atpIn","9_El_atnBy","9_El_atpIn","9_Pr_atnBy","9_Pr_atpIn","10_T_atnBy","10_T_atpIn","10_NT_atnBy","10_NT_atpIn","10_El_atnBy","10_El_atpIn","10_Pr_atnBy","10_Pr_atpIn","1_El_nom","1_NT_nom","1_Pr_nom","1_T_nom","2_El_nom","2_NT_nom","2_Pr_nom","2_T_nom","3_El_nom","3_NT_nom","3_Pr_nom","3_T_nom","4_El_nom","4_NT_nom","4_Pr_nom","4_T_nom","5_El_nom","5_NT_nom","5_Pr_nom","5_T_nom","6_El_nom","6_NT_nom","6_Pr_nom","6_T_nom","1_El_mGPA","1_NT_mGPA","1_Pr_mGPA","1_T_mGPA","2_El_mGPA","2_NT_mGPA","2_Pr_mGPA","2_T_mGPA","3_El_mGPA","3_NT_mGPA","3_Pr_mGPA","3_T_mGPA","4_El_mGPA","4_NT_mGPA","4_Pr_mGPA","4_T_mGPA","5_El_mGPA","5_NT_mGPA","5_Pr_mGPA","5_T_mGPA","6_El_mGPA","6_NT_mGPA","6_Pr_mGPA","6_T_mGPA","7_El_mGPA","7_NT_mGPA","7_Pr_mGPA","7_T_mGPA","8_El_mGPA","8_NT_mGPA","8_Pr_mGPA","8_T_mGPA","9_El_mGPA","9_NT_mGPA","9_Pr_mGPA","9_T_mGPA","10_El_mGPA","10_NT_mGPA","10_Pr_mGPA","10_T_mGPA"
"477","Mænd","HF","6700","Sydjyl.til Århus",23,"1.prio",26520,4.6,1,"Danmark","Esbjerg","B",4,"B",7,"A",1,2033,2013,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","2.Frafald > 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2013-09-01,2015-08-16,"bachelor",2013,4,"BSc2010",0,5,5,5,0,0,15,15,5,15,10,10,0,0,30,15,5,10,20,15,0,0,40,10,5,15,20,5,0,0,40,0,5,0,20,0,0,0,40,0,5,0,20,0,0,0,40,0,5,0,20,0,0,0,40,0,5,0,20,0,0,0,40,0,5,0,20,0,0,0,40,0,5,0,20,0,0,0,40,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,NA,7,0,NA,7,9.5,0.4,NA,8.5,7.66666666666667,-0.5,NA,8.5,7.66666666666667,-2,NA,8.5,7.66666666666667,-2,NA,8.5,7.66666666666667,-2,NA,8.5,7.66666666666667,-2,NA,8.5,7.66666666666667,-2,NA,8.5,7.66666666666667,-2,NA,8.5,7.66666666666667,-2
"478","Mænd","HTX","4700","Øst for Storebæl",19,"1.prio",25315,11.8,1,"Danmark","Kbh.","A",12,"A",10.5,"A",9.25,456,2015,"Medieteknologi","Medialogi","Kandidatuddannelse - NAT Medialogi","NJM7014O","2.-4. semester Medialogi","NJM80112","TEK-NAT","","","","7.KANDIDAT","Norm Gnf.","Norm+ Gnf.","afslutte","Afsluttet",2015-09-01,2017-06-22,"kandidat",2015,4,"MSc2011",0,0,0,5,5,5,15,15,0,0,10,10,10,10,30,15,5,5,10,0,10,0,60,30,5,0,10,0,15,5,90,30,5,0,10,0,15,0,90,0,5,0,10,0,15,0,90,0,5,0,10,0,15,0,90,0,5,0,10,0,15,0,90,0,5,0,10,0,15,0,90,0,5,0,10,0,15,0,90,0,5.000001,5,22.5,5,15.000001,10,41.25,5,15.000001,10,41.25,5,15.000001,10,71.25,5,15.000001,10,71.25,5,15.000001,10,71.25,5,NA,0,12,0,-5,6.33333333333333,11,0,-5,6.33333333333333,11,7,0,6.33333333333333,11.3333333333333,7,0,6.33333333333333,11.3333333333333,7,0,6.33333333333333,11.3333333333333,7,0,6.33333333333333,11.3333333333333,7,0,6.33333333333333,11.3333333333333,7,0,6.33333333333333,11.3333333333333,7,0,6.33333333333333,11.3333333333333,7
"479","Mænd","HTX","4700","Øst for Storebæl",19,"1.prio",25315,11.8,1,"Danmark","Kbh.","A",12,"A",10.5,"A",9.25,1779,2012,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","6. BAC.","Norm Gnf.","Norm+ Gnf.","afslutte","Afsluttet",2012-09-01,2015-06-29,"bachelor",2012,6,"BSc2010",5,5,5,5,0,0,15,15,15,10,15,10,0,0,30,15,15,0,20,5,0,0,40,10,30,15,30,10,0,0,55,15,40,10,35,10,0,0,70,15,45,5,40,5,0,0,90,20,45,0,45,5,0,0,90,0,45,0,45,0,0,0,90,0,45,0,45,0,0,0,90,0,45,0,45,0,0,0,90,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,NA,10,10,NA,7,11,9.66666666666667,NA,9.5,11.3333333333333,9.66666666666667,NA,9.5,11,8,NA,9.5,11.2,8.57142857142857,NA,9.5,11,8,NA,10.3333333333333,11,8,NA,10.3333333333333,11,8,NA,10.3333333333333,11,8,NA,10.3333333333333,11,8
"480","Mænd","STX","9990","Nordjyll.",25,"1.prio",25315,3.1,1,"Danmark","Kbh.","A",1,"B",4.5,"A",2,1979,2013,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af institutionen",2013-09-01,2015-10-16,"bachelor",2013,5,"BSc2010",0,5,0,5,0,0,5,15,0,5,0,5,0,0,5,15,0,0,0,5,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,NA,-5,-5,NA,NA,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5
"481","Mænd","HF","9000","Nordjyll.",25,"1.prio",25317,3.6,1,"Danmark","Aalborg","B",4.5,"B",2,"A",3,2296,2014,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1614O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2014-09-01,2015-12-10,"bachelor",2014,3,"BSc2014",0,5,10,10,0,0,15,15,5,15,15,5,0,0,30,15,5,0,15,0,0,0,30,0,5,0,15,0,0,0,30,0,5,0,15,0,0,0,30,0,5,0,15,0,0,0,30,0,5,0,15,0,0,0,30,0,5,0,15,0,0,0,30,0,5,0,15,0,0,0,30,0,5,0,15,0,0,0,30,0,0,10,15,5,0,15,30,15,0,20,45,25,0,25,60,35,0,35,75,40,15,35,90,40,NA,10,7,0,NA,6,5.5,-1.2,NA,6,5.5,-1.2,NA,6,5.5,-1.2,NA,6,5.5,-1.2,NA,6,5.5,-1.2,NA,6,5.5,-1.2,NA,6,5.5,-1.2,NA,6,5.5,-1.2,NA,6,5.5,-1.2
"482","Mænd","HTX","2650","Øst for Storebæl",20,"1.prio",25315,3.9,1,"Danmark","Kbh.","B",2,"A",8.25,"A",3.33333333333333,1923,2013,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2013-09-01,2014-08-06,"bachelor",2013,2,"BSc2010",0,5,5,5,0,0,15,15,0,15,10,5,0,0,30,15,0,0,15,5,0,0,30,0,0,0,15,0,0,0,30,0,0,0,15,0,0,0,30,0,0,0,15,0,0,0,30,0,0,0,15,0,0,0,30,0,0,0,15,0,0,0,30,0,0,0,15,0,0,0,30,0,0,0,15,0,0,0,30,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,NA,10,-3,NA,NA,10,-0.75,NA,7,10,-0.75,NA,7,10,-0.75,NA,7,10,-0.75,NA,7,10,-0.75,NA,7,10,-0.75,NA,7,10,-0.75,NA,7,10,-0.75,NA,7,10,-0.75
"483","Mænd","STX","9690","Nordjyll.",22,"1.prio",26520,3.8,1,"Danmark","Esbjerg","A",3.66666666666667,"B",7,"A",2,2227,2014,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1614O","1.-2. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2014-09-01,2014-10-10,"bachelor",2014,1,"BSc2014",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,5,0,15,30,15,0,20,45,25,0,25,60,35,0,35,75,40,15,35,90,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"484","Mænd","STX","9690","Nordjyll.",22,"1.prio",25317,4.2,1,"Danmark","Aalborg","A",1,"B",5,"A",2,1872,2013,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","1.-2. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2013-09-01,2014-01-10,"bachelor",2013,1,"BSc2010",0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,0,NA,NA,NA,0,NA,NA,NA,-5,NA,NA,NA,-5,NA,NA,NA,-5,NA,NA,NA,-5,NA,NA,NA,-5,NA,NA,NA,-5,NA,NA,NA,-5,NA,NA,NA,-5,NA,NA
"485","Mænd","HTX","6700","Sydjyl.til Århus",22,"1.prio",26520,3.8,1,"Danmark","Esbjerg","A",3.66666666666667,"B",7,"A",2,2227,2014,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1614O","1.-2. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2014-09-01,2014-10-10,"bachelor",2014,1,"BSc2014",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,5,0,15,30,15,0,20,45,25,0,25,60,35,0,35,75,40,15,35,90,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","Mænd","HTX","6700","Sydjyl.til Århus",22,"1.prio",25317,4.2,1,"Danmark","Aalborg","A",1,"B",5,"A",2,1872,2013,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","1.-2. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2013-09-01,2014-01-10,"bachelor",2013,1,"BSc2010",0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,0,NA,NA,NA,0,NA,NA,NA,-5,NA,NA,NA,-5,NA,NA,NA,-5,NA,NA,NA,-5,NA,NA,NA,-5,NA,NA,NA,-5,NA,NA,NA,-5,NA,NA,NA,-5,NA,NA
"487","Mænd","Matematisk student","8200","Midtjyll.",25,"2. ¯vrige",26520,5.5,9,"Danmark","Esbjerg","B",3.25,"A",4.16666666666667,"A",4.25,1854,2012,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","Bacheloruddannelse - BSc Politik og Administration","Administration og samf.","SAMF","4.Frafald, nyt FAK","Norm Afb (nyt FAK)","Norm+ Afb (nyt FAK)","afbrudt","Afbrudt af institutionen",2012-09-01,2014-08-31,"bachelor",2012,4,"BSc2010",5,5,10,10,0,0,10,10,5,10,10,5,0,0,10,15,5,0,10,0,0,0,10,0,5,0,10,0,0,0,10,0,5,0,10,0,0,0,10,0,5,0,10,0,0,0,10,0,5,0,10,0,0,0,10,0,5,0,10,0,0,0,10,0,5,0,10,0,0,0,10,0,5,0,10,0,0,0,10,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,7,7,7,NA,7,1,-1,NA,7,1,-1,NA,7,1,-1,NA,7,1,-1,NA,7,1,-1,NA,7,1,-1,NA,7,1,-1,NA,7,1,-1,NA,7,1,-1
"488","Mænd","STX","9220","Nordjyll.",23,"1.prio",25317,5.2,1,"Danmark","Aalborg","B",2,"A",8,"A",5,1582,2012,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2012-09-01,2014-04-02,"bachelor",2012,4,"BSc2010",5,5,10,10,0,0,0,10,5,10,10,5,0,0,0,25,5,0,10,0,0,0,0,0,5,0,10,0,0,0,0,0,5,0,10,0,0,0,0,0,5,0,10,0,0,0,0,0,5,0,10,0,0,0,0,0,5,0,10,0,0,0,0,0,5,0,10,0,0,0,0,0,5,0,10,0,0,0,0,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,4,-5,2,NA,4,-5,-2.66666666666667,NA,4,-5,-2.66666666666667,NA,4,-5,-2.66666666666667,NA,4,-5,-2.66666666666667,NA,4,-5,-2.66666666666667,NA,4,-5,-2.66666666666667,NA,4,-5,-2.66666666666667,NA,4,-5,-2.66666666666667,NA,4,-5,-2.66666666666667
"489","Mænd","STX","2300","Øst for Storebæl",21,"1.prio",25315,4.6,1,"Danmark","Kbh.","A",2.66666666666667,"B",3.33333333333333,"A",7,1557,2012,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2012-09-01,2013-06-10,"bachelor",2012,2,"BSc2010",0,5,0,5,0,0,15,15,5,5,5,10,0,0,15,0,5,0,5,0,0,0,15,0,5,0,5,0,0,0,15,0,5,0,5,0,0,0,15,0,5,0,5,0,0,0,15,0,5,0,5,0,0,0,15,0,5,0,5,0,0,0,15,0,5,0,5,0,0,0,15,0,5,0,5,0,0,0,15,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,NA,7,-5,NA,1,7,-1.5,NA,1,7,-1.5,NA,1,7,-1.5,NA,1,7,-1.5,NA,1,7,-1.5,NA,1,7,-1.5,NA,1,7,-1.5,NA,1,7,-1.5,NA,1,7,-1.5
"490","Kvinder","HF","4750","Øst for Storebæl",21,"1.prio",25315,9.5,1,"Danmark","Kbh.","B",12,"B",11,"A",8.5,1969,2013,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af institutionen",2013-09-01,2015-10-16,"bachelor",2013,5,"BSc2010",5,5,0,5,0,0,5,15,5,5,0,5,0,0,5,15,5,0,0,5,0,0,5,0,5,5,0,5,0,0,5,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,NA,-5,4,NA,NA,-5,-0.5,NA,-5,-5,-0.5,NA,-5,-5,-2,NA,-5,-5,-2,NA,-5,-5,-2,NA,-5,-5,-2,NA,-5,-5,-2,NA,-5,-5,-2,NA,-5,-5,-2
"491","Kvinder","HTX","2750","Øst for Storebæl",19,"1.prio",25315,9.8,1,"Danmark","Kbh.","B",5.5,"A",9.25,"A",9.25,1546,2012,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","1.-2. semester Medialogi",NA,"TEK-NAT","Bacheloruddannelse - PSY Psykologi","Psykologi","HUM","4.Frafald, nyt FAK","Norm Afb (nyt FAK)","Norm+ Afb (nyt FAK)","afbrudt","Afbrudt af den studerende",2012-09-01,2012-12-12,"bachelor",2012,1,"BSc2010",0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"492","Kvinder","STX","2800","Øst for Storebæl",19,"1.prio",25315,6.6,1,"Danmark","Kbh.","B",5,"A",6,"A",6,1907,2013,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2013-09-01,2014-04-30,"bachelor",2013,2,"BSc2010",0,5,0,5,0,0,15,15,5,5,5,5,0,0,15,0,5,0,10,5,0,0,15,0,5,0,10,0,0,0,15,0,5,0,10,0,0,0,15,0,5,0,10,0,0,0,15,0,5,0,10,0,0,0,15,0,5,0,10,0,0,0,15,0,5,0,10,0,0,0,15,0,5,0,10,0,0,0,15,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,NA,7,0,NA,NA,7,1,NA,4,7,1,NA,4,7,1,NA,4,7,1,NA,4,7,1,NA,4,7,1,NA,4,7,1,NA,4,7,1,NA,4,7,1
"493","Kvinder","STX","3460","Øst for Storebæl",21,"1.prio",25315,9.6,1,"Danmark","Kbh.","A",10.6666666666667,"A",10.5,"A",7.75,2177,2013,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","6. BAC.","Norm Gnf.","Norm+ Gnf.","afslutte","Afsluttet",2013-09-01,2016-07-01,"bachelor",2013,6,"BSc2010",5,5,5,5,0,0,5,5,15,10,10,5,0,0,30,25,20,5,25,15,0,0,40,10,35,15,30,5,0,0,55,15,40,5,35,5,0,0,70,15,45,5,40,5,0,0,90,20,45,0,45,5,0,0,90,0,45,0,45,0,0,0,90,0,45,0,45,0,0,0,90,0,45,0,45,0,0,0,90,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,NA,NA,12,NA,NA,8.5,10.3333333333333,NA,8.5,8,10.25,NA,8.5,9,8.66666666666667,NA,8.5,9.2,8.42857142857143,NA,8.5,9.66666666666667,8.25,NA,6.33333333333333,9.66666666666667,8.25,NA,6.33333333333333,9.66666666666667,8.25,NA,6.33333333333333,9.66666666666667,8.25,NA,6.33333333333333,9.66666666666667,8.25
"494","Kvinder","STX","3460","Øst for Storebæl",21,"1.prio",25315,9.6,1,"Danmark","Kbh.","A",10.6666666666667,"A",10.5,"A",7.75,540,2016,"Medieteknologi","Medialogi","Kandidatuddannelse - NAT Medialogi","NJM7014O","2.-4. semester Medialogi","DMR80142","TEK-NAT","","","","5.Læser stadigt","Norm Aktiv","Norm+ Aktiv","åben","Indskrevet",2016-09-01,NA,"kandidat",2016,NA,"MSc2011",0,0,5,5,5,5,15,15,0,0,10,5,10,10,30,15,5,5,10,0,10,0,30,0,5,0,10,0,10,0,30,0,5,0,10,0,10,0,30,0,5,0,10,0,10,0,30,0,5,0,10,0,10,0,30,0,5,0,10,0,10,0,30,0,5,0,10,0,10,0,30,0,5,0,10,0,10,0,30,0,5.000001,5,22.5,5,15.000001,10,41.25,5,15.000001,10,41.25,5,15.000001,10,71.25,5,15.000001,10,71.25,5,15.000001,10,71.25,5,NA,10,10,0,-4,11,11,0,-4,11,11,7,-4,11,11,7,-4,11,11,7,-4,11,11,7,-4,11,11,7,-4,11,11,7,-4,11,11,7,-4,11,11,7
"495","Kvinder","HF","2620","Øst for Storebæl",28,"1.prio",25315,7.2,1,"Danmark","Kbh.","B",3,"B",11,"A",5.5,1571,2012,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","3.-6. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2012-09-01,2013-08-28,"bachelor",2012,2,"BSc2010",0,5,0,5,0,0,5,15,0,10,0,10,0,0,5,15,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,NA,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5
"496","Kvinder","STX","4293","Øst for Storebæl",20,"2. ¯vrige",25315,6.5,1,"Danmark","Kbh.","B",3.33333333333333,"A",7,"A",7,1865,2013,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1610O","1.-2. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2013-09-01,2013-11-05,"bachelor",2013,1,"BSc2010",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,5,0,15,45,15,0,25,55,25,0,30,70,35,0,40,85,40,0,45,105,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"497","Mænd","HF","2300","Øst for Storebæl",25,"1.prio",25315,11.4,1,"Danmark","Kbh.","B",2,"B",12,"A",12,2230,2014,"Medieteknologi","Medialogi","Bacheloruddannelse - BSc Medialogi","NJM1614O","1.-2. semester Medialogi",NA,"TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2014-09-01,2014-11-03,"bachelor",2014,1,"BSc2014",0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,10,15,5,0,15,30,15,0,20,45,25,0,25,60,35,0,35,75,40,15,35,90,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
